processName,/group,instanceCount,percentCPU,residentSetSize,processId,numThreads,percentMemory,virtualMemory,startTime,args,user,
bbsoscks#147,,1,0.0 %,11640 Kb,23404,1,0.3 %,16816 Kb,Sun Jan 23 10:45:35 2011,/cs/socks/sbin/sockd -D -N 4,sockd,
bbsoscks#148,,1,0.0 %,11872 Kb,23577,1,0.3 %,16816 Kb,Sun Jan 23 10:46:24 2011,/cs/socks/sbin/sockd -D -N 4,sockd,
bbsoscks#149,,1,0.0 %,11952 Kb,23985,1,0.3 %,16816 Kb,Sun Jan 23 10:46:48 2011,/cs/socks/sbin/sockd -D -N 4,sockd,
bbsoscks#150,,1,0.0 %,11936 Kb,23984,1,0.3 %,16816 Kb,Sun Jan 23 10:46:46 2011,/cs/socks/sbin/sockd -D -N 4,sockd,
bbsoscks#151,,1,0.0 %,11864 Kb,24213,1,0.3 %,16816 Kb,Sun Jan 23 10:48:04 2011,/cs/socks/sbin/sockd -D -N 4,sockd,
bbsoscks#152,,1,0.0 %,11928 Kb,24249,1,0.3 %,16816 Kb,Sun Jan 23 10:48:44 2011,/cs/socks/sbin/sockd -D -N 4,sockd,
bbsoscks#153,,1,0.0 %,12616 Kb,26865,1,0.4 %,16752 Kb,Mon Jan 24 09:58:19 2011,/cs/socks/sbin/sockd -D -N 4,sockd,
bbsoscks#154,,1,0.0 %,11952 Kb,23282,1,0.3 %,16816 Kb,Sun Feb 20 10:53:17 2011,/cs/socks/sbin/sockd -D -N 4,sockd,
bbsoscks#155,,1,0.0 %,11936 Kb,23329,1,0.3 %,16816 Kb,Sun Feb 20 10:54:51 2011,/cs/socks/sbin/sockd -D -N 4,sockd,
bbsoscks#156,,1,0.0 %,11760 Kb,23946,1,0.3 %,16816 Kb,Sun Feb 20 10:55:18 2011,/cs/socks/sbin/sockd -D -N 4,sockd,
