GENEOS Status Report,
Monday 20 Jul 2015 17:41:46,
samplingStatus,Currency,HistClose,IndexName,IndexValue,NetChange,Open,Time,TradeDate,
OK,USD,2108.95,S&P 500 INDEX   ,2113.11,4.16,2109.01,15:2:59,7/15/2015,
instrument,Name,Value,LastValue,PctChange,Time,DataState,Timeliness,SeqNumber,Ticks,
FMC.N,FMC CORP        ,50.5,49.52,-0.7859,15:2:43,Ok,RealTime,25774,2,
FOSL.OQ,FOSSIL GROUP INC,70.29,70.5,-0.2979,15:2:38,Ok,RealTime,57056,4,
FOXA.OQ,TWTY FT CNT FX A,34.01,33.66,1.0398,15:2:52,Ok,RealTime,53232,6,
FSLR.OQ,FIRST SOLAR     ,44.72,45.81,-2.3794,15:2:55,Ok,RealTime,4368,5,
FTI.N,FMC TECHNOLOGIS ,37.2,37.52,-0.9321,15:2:49,Ok,RealTime,23312,5,
FTR.OQ,FRONTIER COMM   ,4.895,4.93,-0.7099,15:1:48,Ok,RealTime,51568,2,
GAS.N,AGL RESOURCES   ,48.15,47.65,-0.1245,15:2:43,Ok,RealTime,15040,3,
GD.N,GENERAL DYNAMICS,147.44,146.07,0.3198,15:2:37,Ok,RealTime,19856,3,
GE.N,GENERAL ELEC CO ,26.71,26.39,0.1875,15:2:32,Ok,RealTime,18720,7,
GGP.N,GNRL GRTH PRO   ,26.54,26.38,0.3023,15:1:45,Ok,RealTime,12464,2,
GILD.OQ,GILEAD SCI      ,118.58,117.36,1.0395,15:2:57,Ok,RealTime,3296,17,
GIS.N,GENERAL MILLS   ,56.875,57.57,-0.655,15:2:1,Ok,RealTime,11712,4,
GLW.N,CORNING INC     ,19.21,18.86,-0.2078,15:1:51,Ok,RealTime,14768,2,
GM.N,GENERAL MOTORS  ,31.65,31.41,-0.3777,15:2:41,Ok,RealTime,56672,5,
GMCR.OQ,KEURIG GREEN MOU,69.95,69.97,-0.0286,15:2:41,Ok,RealTime,43440,2,
GME.N,GAMESTOP CL A   ,46.6,47.15,-0.2782,15:2:53,Ok,RealTime,1136,3,
GNW.N,GENWORTH FINL   ,7.75,7.5,-0.1289,15:0:19,Ok,RealTime,18656,2,
GOOG.OQ,GOOGLE INC C    ,560.85,561.1,-0.0446,15:2:57,Ok,RealTime,10960,22,
GOOGL.OQ,GOOGLE INC A    ,583.44,584.18,-0.1267,15:2:46,Ok,RealTime,8864,2,
GPC.N,GENUINE PARTS CO,90.21,88.98,0,15:2:19,Ok,RealTime,51712,3,
GPS.N,GAP INC         ,37.705,37.7,-0.2513,15:2:37,Ok,RealTime,31600,3,
GRMN.OQ,GARMIN LTD      ,46.11,46.4,-0.625,15:2:57,Ok,RealTime,54736,10,
GS.N,GOLDM SACHS GRP ,212.47,209.66,0.1461,15:2:57,Ok,RealTime,16128,14,
GT.OQ,GODYR TIRE & RBR,29.97,30.29,-1.0565,15:2:57,Ok,RealTime,29600,8,
GWW.N,W W GRAINGER INC,231.38,236.15,-0.8102,15:1:6,Ok,RealTime,53440,2,
HAL.N,HALLIBURTON CO  ,42.11,41.2,-1.0573,15:2:37,Ok,RealTime,7984,9,
HAR.N,HARMAN INTL INDS,113.91,115.54,-0.9047,15:2:56,Ok,RealTime,30592,13,
HAS.OQ,HASBRO INC      ,78.43,78.69,-0.3304,15:2:57,Ok,RealTime,34784,3,
HBAN.OQ,HUNTGTN BKSHR   ,11.54,11.44,0.8741,14:58:38,Ok,RealTime,9760,6,
HBI.N,HANESBRANDS     ,34.16,33.68,-0.2628,15:2:42,Ok,RealTime,28928,3,
HCA.N,HCA HOLDINGS    ,93.58,94.13,-1.2035,15:2:25,Ok,RealTime,35584,2,
HCBK.OQ,HUDSON CITY BCP ,10.1,10.025,0.7481,15:2:28,Ok,RealTime,2064,2,
HCN.N,HEALTHCARE REIT ,67.83,69.16,-0.4403,15:2:41,Ok,RealTime,23600,1,
HCP.N,HCP INC         ,37.71,38.01,-0.2645,15:2:17,Ok,RealTime,10368,2,
HD.N,HOME DEPOT INC  ,115.46,114.56,0.0867,15:2:56,Ok,RealTime,9520,15,
HES.N,HESS CORP       ,64.33,63.87,-0.3717,15:2:50,Ok,RealTime,58688,8,
HIG.N,HARTFORD FINL   ,46.49,43.76,1.7287,15:2:48,Ok,RealTime,13712,5,
HOG.N,HARLEY-DAVIDSON ,56.96,56.2,-1.1283,15:2:48,Ok,RealTime,63776,1,
HON.N,HONEYWELL INTL  ,104.32,103.59,0.2306,15:2:52,Ok,RealTime,20304,5,
HOT.N,STARWOOD HOTELS ,84.41,81.76,0.3209,15:2:53,Ok,RealTime,4350,3,
HP.N,HELMERICH PAYNE ,65.06,64.11,-1.3345,15:2:41,Ok,RealTime,6576,3,
HPQ.N,HEWLETT-PACKARD ,30.6,30.65,0.295,15:2:47,Ok,RealTime,39200,9,
HRB.N,H & R BLOCK INC ,31.45,31.5,0.2231,15:2:0,Ok,RealTime,38912,2,
HRL.N,HORMEL FOODS    ,57.91,57.64,-0.7541,15:1:51,Ok,RealTime,53552,1,
HRS.N,HARRIS CORP     ,81.32,79.91,0.656,15:2:37,Ok,RealTime,17456,1,
HSIC.OQ,HENRY SCHEIN    ,147.59,147.24,0.2377,15:1:15,Ok,RealTime,56256,3,
HSP.N,HOSPIRA         ,89.32,89.135,-0.0336,15:1:45,Ok,RealTime,56880,3,
HST.N,HOST HOTL&RES   ,21.05,20.81,0.6695,15:2:56,Ok,RealTime,42768,6,
HSY.N,HERSHEY CO      ,92.01,91.9,-0.4544,15:1:58,Ok,RealTime,63120,2,
HUM.N,HUMANA INC      ,187.47,187.4,0.7145,15:2:58,Ok,RealTime,304,7,
IBM.N,INTL BUS MACHINE,169.17,169.5,0.3321,15:2:55,Ok,RealTime,15168,6,
ICE.N,INTRCTNTL EXCHNG,228.685,229.41,0.3048,15:1:19,Ok,RealTime,28448,3,
IFF.N,INTL FLAV & FRAG,113.44,112.65,0.2474,15:0:15,Ok,RealTime,1104,2,
INTC.OQ,INTEL CORP      ,29.69,29.65,0.1349,15:2:46,Ok,RealTime,55024,6,
INTU.OQ,INTUIT INC      ,106.62,105.83,0.7465,15:2:18,Ok,RealTime,22512,3,
IP.N,INTNL PAPER CO  ,47.48,46.93,-0.5654,15:2:41,Ok,RealTime,60560,6,
IPG.N,INTERPBLIC GRP  ,19.88,19.79,-0.1507,15:1:27,Ok,RealTime,4944,1,
