GENEOS Status Report,
Monday 20 Jul 2015 17:38:00,
samplingStatus,Currency,HistClose,IndexName,IndexValue,NetChange,Open,Time,TradeDate,
OK,GBP,3737.14,FTSE 350 INDEX  ,3738.61,1.47,3737.14,14:59:9,7/15/2015,
instrument,Name,Value,LastValue,PctChange,Time,DataState,Timeliness,SeqNumber,Ticks,
MPI.L,MICHAEL PAGE    ,536.5,546.882353,-1.015,14:58:33,Ok,RealTime,48928,1,
MRCM.L,MERCANTILE INV  ,1712,1688,-0.465,14:58:34,Ok,RealTime,4592,3,
MRON.L,MELROSE IND     ,257.9,252.5,-0.116,14:59:7,Ok,RealTime,60864,7,
MRW.L,MORRISON SUPMKT ,180.9,172.8,0.166,14:56:4,Ok,RealTime,41584,1,
MTO.L,MITIE GRP.      ,323.2,319.5,-0.646,14:58:34,Ok,RealTime,16480,1,
MYI.L,MURRAY INTL TR  ,926.5,942.5,-0.215,14:58:53,Ok,RealTime,43440,1,
NBLS.L,NB GLBL FLT GBX ,97.75,97.65,-0.153,14:53:48,Ok,RealTime,26912,2,
NEX.L,NATIONAL EXPRESS,300.9,300,0.501,14:59:5,Ok,RealTime,60640,8,
NG.L,NATIONAL GRID   ,858.7,855.2,0.656,14:59:0,Ok,RealTime,39376,3,
NMC.L,NMC HEALTH PLC  ,799,801,-0.125,14:58:35,Ok,RealTime,52912,4,
NOGN.L,NOSTRUM OIL&GAS ,588.5,590.5,0.771,14:58:34,Ok,RealTime,61040,2,
NTG.L,NORTHGATE       ,550,541,0.091,14:58:34,Ok,RealTime,19904,1,
NXT.L,NEXT            ,7550,7505,0.066,14:58:31,Ok,RealTime,55088,4,
OCDO.L,OCADO           ,470.9,451.7464,1.487,14:55:27,Ok,RealTime,19456,2,
OML.L,OLD MUTUAL      ,217.3,214.6,0.277,14:57:32,Ok,RealTime,61168,3,
OPHR.L,OPHIR ENERGY    ,114.7,109.4,2.87,14:58:1,Ok,RealTime,5248,1,
PARA.L,PARAGON GROUP   ,389.1,395.4,-0.077,14:57:16,Ok,RealTime,32016,4,
